rg1,rg2,rg3,rg4,rg5,rg6,rg7,rg8,rg9,rg10,rx1,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rwin
-672,-2138,-4051,-5158,-3233,-2461,-4619,-4901,-8998,-11858,-147,-1527,-2524,-3650,-1485,-29,-3070,-5267,-13100,-17974,0
32,-1652,-2279,-1685,1356,2515,5889,11079,12389,17279,-430,-1813,-1926,1734,5496,8885,12012,18612,20346,24452,1
-641,-641,-1274,-2099,-4367,-6950,-8663,-11698,-15199,-16402,-385,-443,-493,-1479,-3901,-5012,-7272,-7956,-12025,-16123,0
-591,-248,-677,-765,-951,-1124,-2015,-10362,-13449,-18305,-836,-895,-1453,-2203,-4012,-3618,-4487,-11855,-14634,-23100,0
-880,-1393,-1895,-2460,-2270,-5611,-6611,-3466,-2936,-1518,-109,-2041,-1708,-1824,172,-3725,-1211,4957,1403,-1963,0
862,445,-254,1291,281,1913,2511,1759,-477,-2595,-241,-1199,-1508,-941,-2626,-1534,-976,-3157,-8761,-13182,0
1363,2637,4919,5851,7155,7388,7581,4800,-2895,-10751,134,1793,3541,3256,1704,1285,3707,1560,-12751,-17096,0
875,1690,2979,5317,2996,2418,3710,6257,6629,12643,864,1495,2664,5459,1961,305,5756,11014,14217,18958,1
468,1054,951,1680,3806,5792,7578,8234,13174,17043,230,121,-398,83,1047,2754,3524,4679,7774,9328,1
-186,1371,848,4214,1465,2344,2796,3757,4463,15009,668,1278,697,5976,1664,508,817,858,1668,15544,1
351,631,3251,3315,3806,5839,3690,4942,2039,-3816,-83,-1716,1012,1072,-397,3555,-2159,1358,5210,-8141,0
2,-431,-693,-2079,-3010,-4393,-7026,-8519,-7790,-11392,-191,-372,-943,-2312,-3156,-3850,-6045,-7714,-6542,-10178,0
982,936,-320,-3665,-2652,-4332,-3584,-6184,-7432,-7681,1195,1466,2681,1166,902,-529,2605,4194,2879,1871,0
-808,-2048,-720,-1248,99,-1999,-3745,-8334,-9165,-12482,-563,-795,784,1282,4313,2532,-967,-3294,-2942,-6290,0
798,1009,2700,3889,5816,6813,11966,16467,16454,28185,816,1295,2444,1233,2678,2747,10921,15693,12783,19381,1
221,-523,666,213,815,436,-165,1896,5034,16522,-395,-296,1250,866,1963,858,2175,7183,11941,21082,1
894,524,-945,-2811,-2404,-2726,-4530,-7369,-17124,-18178,29,-1115,-3291,-3915,-4942,-5231,-6991,-15725,-20199,-19402,0
-292,-1371,201,1742,5289,6559,7181,8150,9763,17699,203,-823,1046,4403,6512,6782,4282,4229,7656,17745,1
470,-419,-853,-1128,-926,-81,944,2141,314,-4899,-535,-1001,-551,812,-722,1219,4636,5471,5042,-1373,0
-891,-702,-2576,-1621,-4878,-5925,-11087,-17394,-26904,-27188,-253,-477,-4457,-7150,-13576,-14476,-25463,-32000,-36157,-27096,0
-529,-59,-1647,-2737,-4584,-7463,-8781,-10226,-8634,-11045,-580,-735,-3541,-3953,-6681,-10687,-13591,-16417,-14871,-16327,0
188,540,1436,1978,1674,3260,3376,3962,4586,8543,-38,528,1600,2696,4042,5183,5720,7315,9607,8595,1
-606,-1014,-2697,-3901,-4277,-5792,-9689,-12064,-15044,-13118,-521,-747,-2503,-4291,-4628,-7448,-10681,-14490,-10641,-7589,0
-415,-1356,-1563,-2877,-5157,-5537,-5197,-9022,-14512,-14922,-223,-1119,-1304,-3315,-4083,-3971,-2687,-8420,-14410,-14903,0
209,673,498,-2086,-4783,-1998,-401,-2046,-3360,-4639,-804,-882,-1097,-2195,-5290,-578,-3550,-2709,-4461,-8513,0
